Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 6:36:17 pm (UTC+1000), 6200564.6, 627060.11, 38.74, 0.02
16/9/2024 6:36:18 pm (UTC+1000), 6200564.33, 627058.77, 38.71, 0.02
16/9/2024 6:36:19 pm (UTC+1000), 6200564.13, 627057.44, 38.79, 0.02
16/9/2024 6:36:20 pm (UTC+1000), 6200563.88, 627056.15, 38.79, 0.02
16/9/2024 6:36:21 pm (UTC+1000), 6200563.58, 627054.82, 38.8, 0.02
16/9/2024 6:36:22 pm (UTC+1000), 6200563.32, 627053.53, 38.86, 0.02
16/9/2024 6:36:23 pm (UTC+1000), 6200563.07, 627052.25, 38.82, 0.02
16/9/2024 6:36:24 pm (UTC+1000), 6200562.88, 627050.95, 38.89, 0.02
16/9/2024 6:36:25 pm (UTC+1000), 6200562.69, 627049.65, 38.9, 0.02
16/9/2024 6:36:26 pm (UTC+1000), 6200562.5, 627048.34, 38.9, 0.02
16/9/2024 6:36:27 pm (UTC+1000), 6200562.29, 627047.14, 38.99, 0.02
16/9/2024 6:36:28 pm (UTC+1000), 6200562.11, 627045.87, 38.96, 0.02
16/9/2024 6:36:29 pm (UTC+1000), 6200561.95, 627044.63, 39.05, 0.02
16/9/2024 6:36:30 pm (UTC+1000), 6200561.73, 627043.47, 39.01, 0.02
16/9/2024 6:36:31 pm (UTC+1000), 6200561.42, 627042.29, 39.1, 0.02
16/9/2024 6:36:32 pm (UTC+1000), 6200561.15, 627041.08, 39.08, 0.02
16/9/2024 6:36:33 pm (UTC+1000), 6200560.94, 627039.9, 39.12, 0.03
16/9/2024 6:36:34 pm (UTC+1000), 6200560.62, 627038.69, 39.16, 0.03
16/9/2024 6:36:35 pm (UTC+1000), 6200560.47, 627037.46, 39.17, 0.03
16/9/2024 6:36:36 pm (UTC+1000), 6200560.31, 627036.18, 39.24, 0.03
16/9/2024 6:36:37 pm (UTC+1000), 6200560.2, 627034.9, 39.21, 0.03
16/9/2024 6:36:38 pm (UTC+1000), 6200559.98, 627033.72, 39.29, 0.02
16/9/2024 6:36:39 pm (UTC+1000), 6200559.66, 627032.55, 39.33, 0.03
16/9/2024 6:36:40 pm (UTC+1000), 6200559.48, 627031.35, 39.43, 0.02
16/9/2024 6:36:41 pm (UTC+1000), 6200559.41, 627030.07, 39.44, 0.03
16/9/2024 6:36:42 pm (UTC+1000), 6200559.23, 627028.89, 39.54, 0.02
16/9/2024 6:36:43 pm (UTC+1000), 6200559.06, 627027.73, 39.5, 0.03
16/9/2024 6:36:44 pm (UTC+1000), 6200558.87, 627026.49, 39.58, 0.03
16/9/2024 6:36:45 pm (UTC+1000), 6200558.76, 627025.24, 39.61, 0.03
16/9/2024 6:36:46 pm (UTC+1000), 6200558.63, 627024.03, 39.61, 0.03
16/9/2024 6:36:47 pm (UTC+1000), 6200558.36, 627022.81, 39.73, 0.03
16/9/2024 6:36:48 pm (UTC+1000), 6200557.97, 627021.63, 39.63, 0.03
16/9/2024 6:36:49 pm (UTC+1000), 6200557.47, 627020.44, 39.67, 0.03
16/9/2024 6:36:50 pm (UTC+1000), 6200557, 627019.25, 39.72, 0.02
16/9/2024 6:36:51 pm (UTC+1000), 6200556.59, 627018.07, 39.73, 0.02
16/9/2024 6:36:52 pm (UTC+1000), 6200556.15, 627016.97, 39.72, 0.02
16/9/2024 6:36:53 pm (UTC+1000), 6200555.68, 627015.84, 39.57, 0.02
16/9/2024 6:36:54 pm (UTC+1000), 6200555.19, 627014.67, 39.56, 0.02
16/9/2024 6:36:55 pm (UTC+1000), 6200554.75, 627013.47, 39.47, 0.02
16/9/2024 6:36:56 pm (UTC+1000), 6200554.28, 627012.26, 39.32, 0.02
16/9/2024 6:36:57 pm (UTC+1000), 6200553.82, 627011.13, 39.31, 0.02
16/9/2024 6:36:58 pm (UTC+1000), 6200553.4, 627009.99, 39.19, 0.02
16/9/2024 6:36:59 pm (UTC+1000), 6200553.04, 627008.84, 39.07, 0.02
16/9/2024 6:37:00 pm (UTC+1000), 6200552.59, 627007.74, 39.09, 0.02
16/9/2024 6:37:01 pm (UTC+1000), 6200552.1, 627006.57, 38.98, 0.02
16/9/2024 6:37:02 pm (UTC+1000), 6200551.69, 627005.39, 38.99, 0.02
16/9/2024 6:37:03 pm (UTC+1000), 6200551.15, 627004.32, 39.02, 0.02
16/9/2024 6:37:04 pm (UTC+1000), 6200550.46, 627003.35, 38.94, 0.02
16/9/2024 6:37:05 pm (UTC+1000), 6200549.7, 627002.4, 38.97, 0.02
16/9/2024 6:37:06 pm (UTC+1000), 6200549.01, 627001.4, 38.87, 0.02
16/9/2024 6:37:07 pm (UTC+1000), 6200548.58, 627000.27, 38.93, 0.02
16/9/2024 6:37:08 pm (UTC+1000), 6200548.19, 626999.12, 38.88, 0.02
16/9/2024 6:37:09 pm (UTC+1000), 6200547.75, 626997.95, 38.89, 0.02
16/9/2024 6:37:10 pm (UTC+1000), 6200547.37, 626996.81, 38.95, 0.02
16/9/2024 6:37:11 pm (UTC+1000), 6200547.13, 626995.66, 38.93, 0.02
16/9/2024 6:37:12 pm (UTC+1000), 6200546.85, 626994.54, 38.91, 0.02
16/9/2024 6:37:13 pm (UTC+1000), 6200546.46, 626993.41, 38.9, 0.02
16/9/2024 6:37:14 pm (UTC+1000), 6200546.1, 626992.34, 38.94, 0.02
16/9/2024 6:37:15 pm (UTC+1000), 6200546.02, 626991.11, 38.86, 0.02
16/9/2024 6:37:16 pm (UTC+1000), 6200546.11, 626989.9, 38.94, 0.02
16/9/2024 6:37:17 pm (UTC+1000), 6200545.88, 626988.72, 38.88, 0.02
16/9/2024 6:37:18 pm (UTC+1000), 6200545.47, 626987.61, 38.95, 0.02
16/9/2024 6:37:19 pm (UTC+1000), 6200545.13, 626986.49, 38.9, 0.02
16/9/2024 6:37:20 pm (UTC+1000), 6200544.93, 626985.32, 38.95, 0.02
16/9/2024 6:37:21 pm (UTC+1000), 6200544.62, 626984.2, 38.93, 0.02
16/9/2024 6:37:22 pm (UTC+1000), 6200544.21, 626983.09, 38.95, 0.02
16/9/2024 6:37:23 pm (UTC+1000), 6200543.84, 626981.9, 38.86, 0.02
16/9/2024 6:37:24 pm (UTC+1000), 6200543.56, 626980.62, 38.87, 0.02
16/9/2024 6:37:25 pm (UTC+1000), 6200543.15, 626979.51, 38.88, 0.02
16/9/2024 6:37:26 pm (UTC+1000), 6200542.72, 626978.44, 38.88, 0.01
16/9/2024 6:37:27 pm (UTC+1000), 6200542.47, 626977.29, 38.9, 0.02
16/9/2024 6:37:28 pm (UTC+1000), 6200542.27, 626976.11, 38.85, 0.02
16/9/2024 6:37:29 pm (UTC+1000), 6200542.12, 626974.9, 38.92, 0.02
16/9/2024 6:37:30 pm (UTC+1000), 6200541.8, 626973.72, 38.86, 0.01
16/9/2024 6:37:31 pm (UTC+1000), 6200541.47, 626972.59, 38.95, 0.02
16/9/2024 6:37:32 pm (UTC+1000), 6200541.37, 626971.39, 38.91, 0.02
16/9/2024 6:37:33 pm (UTC+1000), 6200541.32, 626970.08, 38.87, 0.02
16/9/2024 6:37:34 pm (UTC+1000), 6200541.16, 626968.87, 38.92, 0.01
16/9/2024 6:37:35 pm (UTC+1000), 6200540.98, 626967.76, 38.88, 0.02
16/9/2024 6:37:36 pm (UTC+1000), 6200540.83, 626966.6, 38.89, 0.02
16/9/2024 6:37:37 pm (UTC+1000), 6200540.7, 626965.45, 38.85, 0.02
16/9/2024 6:37:38 pm (UTC+1000), 6200540.49, 626964.35, 38.91, 0.02
16/9/2024 6:37:39 pm (UTC+1000), 6200540.16, 626963.26, 38.85, 0.02
16/9/2024 6:37:40 pm (UTC+1000), 6200539.72, 626962.18, 38.93, 0.01
16/9/2024 6:37:41 pm (UTC+1000), 6200539.06, 626961.13, 38.97, 0.02
16/9/2024 6:37:42 pm (UTC+1000), 6200538.48, 626960.13, 39.02, 0.01
16/9/2024 6:37:43 pm (UTC+1000), 6200537.8, 626959.1, 38.96, 0.02
16/9/2024 6:37:44 pm (UTC+1000), 6200537.14, 626958.07, 39.03, 0.02
16/9/2024 6:37:45 pm (UTC+1000), 6200536.56, 626957, 39.06, 0.02
16/9/2024 6:37:46 pm (UTC+1000), 6200535.99, 626955.87, 39.05, 0.02
16/9/2024 6:37:47 pm (UTC+1000), 6200535.38, 626954.84, 39.17, 0.02
16/9/2024 6:37:48 pm (UTC+1000), 6200534.67, 626953.75, 39.11, 0.02
16/9/2024 6:37:49 pm (UTC+1000), 6200533.98, 626952.67, 39.2, 0.02
16/9/2024 6:37:50 pm (UTC+1000), 6200533.43, 626951.53, 39.19, 0.02
16/9/2024 6:37:51 pm (UTC+1000), 6200533.04, 626950.43, 39.26, 0.03
16/9/2024 6:37:52 pm (UTC+1000), 6200532.46, 626949.37, 39.29, 0.03
16/9/2024 6:37:53 pm (UTC+1000), 6200531.65, 626948.5, 39.26, 0.04
16/9/2024 6:37:54 pm (UTC+1000), 6200530.9, 626947.54, 39.39, 0.05
16/9/2024 6:37:55 pm (UTC+1000), 6200530.24, 626946.46, 39.43, 0.04
16/9/2024 6:37:56 pm (UTC+1000), 6200529.68, 626945.39, 39.5, 0.06
16/9/2024 6:37:57 pm (UTC+1000), 6200529.47, 626944.38, 39.22, 0.08
16/9/2024 6:37:58 pm (UTC+1000), 6200529.02, 626943.24, 39.05, 0.08
16/9/2024 6:37:59 pm (UTC+1000), 6200528.85, 626942.06, 38.89, 0.08
16/9/2024 6:38:00 pm (UTC+1000), 6200528.78, 626940.89, 38.92, 0.09
16/9/2024 6:38:01 pm (UTC+1000), 6200528.74, 626939.73, 38.87, 0.10
16/9/2024 6:38:02 pm (UTC+1000), 6200528.75, 626938.51, 38.89, 0.10
16/9/2024 6:38:03 pm (UTC+1000), 6200528.83, 626937.3, 38.79, 0.10
16/9/2024 6:38:04 pm (UTC+1000), 6200528.89, 626936.12, 38.82, 0.10
16/9/2024 6:38:05 pm (UTC+1000), 6200528.89, 626934.94, 38.74, 0.10
16/9/2024 6:38:06 pm (UTC+1000), 6200528.74, 626933.75, 39.22, 0.03
16/9/2024 6:38:07 pm (UTC+1000), 6200528.69, 626932.5, 39.2, 0.03
16/9/2024 6:38:08 pm (UTC+1000), 6200528.57, 626931.24, 39.09, 0.03
16/9/2024 6:38:09 pm (UTC+1000), 6200528.41, 626930.05, 39.11, 0.03
16/9/2024 6:38:10 pm (UTC+1000), 6200528.17, 626928.88, 39.02, 0.03
16/9/2024 6:38:11 pm (UTC+1000), 6200527.85, 626927.76, 39.02, 0.04
16/9/2024 6:38:12 pm (UTC+1000), 6200527.35, 626926.65, 38.98, 0.03
16/9/2024 6:38:13 pm (UTC+1000), 6200526.79, 626925.57, 38.94, 0.03
16/9/2024 6:38:14 pm (UTC+1000), 6200526.52, 626924.49, 38.91, 0.03
16/9/2024 6:38:15 pm (UTC+1000), 6200526.16, 626923.29, 38.84, 0.03
16/9/2024 6:38:16 pm (UTC+1000), 6200525.7, 626922.13, 38.93, 0.02
16/9/2024 6:38:17 pm (UTC+1000), 6200525.24, 626921, 38.89, 0.03
16/9/2024 6:38:18 pm (UTC+1000), 6200524.87, 626919.96, 38.95, 0.02
16/9/2024 6:38:19 pm (UTC+1000), 6200524.55, 626918.92, 38.91, 0.02
16/9/2024 6:38:20 pm (UTC+1000), 6200524.43, 626917.88, 38.91, 0.02
16/9/2024 6:38:21 pm (UTC+1000), 6200524.37, 626916.84, 38.88, 0.02
16/9/2024 6:38:22 pm (UTC+1000), 6200524.2, 626915.76, 38.76, 0.02
16/9/2024 6:38:23 pm (UTC+1000), 6200524.03, 626914.65, 38.76, 0.03
16/9/2024 6:38:24 pm (UTC+1000), 6200524.06, 626913.5, 38.75, 0.02
16/9/2024 6:38:25 pm (UTC+1000), 6200524.3, 626912.36, 38.73, 0.03
16/9/2024 6:38:26 pm (UTC+1000), 6200524.6, 626911.19, 38.78, 0.02
16/9/2024 6:38:27 pm (UTC+1000), 6200524.95, 626910.08, 38.78, 0.03
16/9/2024 6:38:28 pm (UTC+1000), 6200525.46, 626909, 38.88, 0.02
16/9/2024 6:38:29 pm (UTC+1000), 6200525.92, 626907.84, 38.79, 0.03
16/9/2024 6:38:30 pm (UTC+1000), 6200526.43, 626906.71, 38.84, 0.04
16/9/2024 6:38:31 pm (UTC+1000), 6200526.78, 626905.58, 38.82, 0.03
16/9/2024 6:38:32 pm (UTC+1000), 6200527.02, 626904.48, 38.9, 0.03
16/9/2024 6:38:33 pm (UTC+1000), 6200527.43, 626903.36, 38.92, 0.04
16/9/2024 6:38:34 pm (UTC+1000), 6200527.64, 626902.22, 38.97, 0.03
16/9/2024 6:38:35 pm (UTC+1000), 6200527.68, 626900.99, 38.83, 0.03
16/9/2024 6:38:36 pm (UTC+1000), 6200527.59, 626899.82, 39.04, 0.03
16/9/2024 6:38:37 pm (UTC+1000), 6200527.62, 626898.72, 38.98, 0.03
16/9/2024 6:38:38 pm (UTC+1000), 6200527.72, 626897.65, 39.07, 0.03
16/9/2024 6:38:39 pm (UTC+1000), 6200527.7, 626896.6, 39.03, 0.03
16/9/2024 6:38:40 pm (UTC+1000), 6200527.7, 626895.56, 39.22, 0.03
16/9/2024 6:38:41 pm (UTC+1000), 6200527.72, 626894.54, 39.21, 0.03
16/9/2024 6:38:42 pm (UTC+1000), 6200527.65, 626893.4, 39.19, 0.03
16/9/2024 6:38:43 pm (UTC+1000), 6200527.66, 626892.26, 39.2, 0.04
16/9/2024 6:38:44 pm (UTC+1000), 6200527.72, 626891.11, 39.1, 0.03
16/9/2024 6:38:45 pm (UTC+1000), 6200527.81, 626889.87, 39.03, 0.03
16/9/2024 6:38:46 pm (UTC+1000), 6200527.86, 626888.66, 39.02, 0.03
16/9/2024 6:38:47 pm (UTC+1000), 6200527.88, 626887.47, 38.96, 0.02
16/9/2024 6:38:48 pm (UTC+1000), 6200527.89, 626886.21, 38.98, 0.03
16/9/2024 6:38:49 pm (UTC+1000), 6200527.94, 626884.97, 38.93, 0.03
16/9/2024 6:38:50 pm (UTC+1000), 6200527.84, 626883.66, 38.88, 0.02
16/9/2024 6:38:51 pm (UTC+1000), 6200527.75, 626882.41, 38.95, 0.03
16/9/2024 6:38:52 pm (UTC+1000), 6200527.67, 626881.15, 38.88, 0.02
16/9/2024 6:38:53 pm (UTC+1000), 6200527.65, 626879.85, 38.92, 0.03
16/9/2024 6:38:54 pm (UTC+1000), 6200527.8, 626878.56, 38.9, 0.02
16/9/2024 6:38:55 pm (UTC+1000), 6200528.15, 626877.23, 38.83, 0.03
16/9/2024 6:38:56 pm (UTC+1000), 6200528.56, 626875.95, 38.9, 0.02
16/9/2024 6:38:57 pm (UTC+1000), 6200528.9, 626874.71, 38.91, 0.03
16/9/2024 6:38:58 pm (UTC+1000), 6200529.27, 626873.41, 38.84, 0.03
16/9/2024 6:38:59 pm (UTC+1000), 6200529.67, 626872.18, 38.96, 0.03
16/9/2024 6:39:00 pm (UTC+1000), 6200530.08, 626870.92, 38.88, 0.03
16/9/2024 6:39:01 pm (UTC+1000), 6200530.53, 626869.67, 38.89, 0.03
16/9/2024 6:39:02 pm (UTC+1000), 6200531.03, 626868.43, 38.9, 0.03
16/9/2024 6:39:03 pm (UTC+1000), 6200531.41, 626867.2, 38.84, 0.03
16/9/2024 6:39:04 pm (UTC+1000), 6200531.79, 626865.96, 38.88, 0.03
16/9/2024 6:39:05 pm (UTC+1000), 6200532.18, 626864.7, 38.86, 0.04
16/9/2024 6:39:06 pm (UTC+1000), 6200532.59, 626863.45, 38.79, 0.03
16/9/2024 6:39:07 pm (UTC+1000), 6200532.98, 626862.21, 38.87, 0.03
16/9/2024 6:39:08 pm (UTC+1000), 6200533.3, 626861, 38.83, 0.03
16/9/2024 6:39:09 pm (UTC+1000), 6200533.55, 626859.73, 38.81, 0.03
16/9/2024 6:39:10 pm (UTC+1000), 6200533.81, 626858.53, 38.87, 0.03
16/9/2024 6:39:11 pm (UTC+1000), 6200533.93, 626857.31, 38.83, 0.03
16/9/2024 6:39:12 pm (UTC+1000), 6200533.94, 626856, 38.89, 0.03
16/9/2024 6:39:13 pm (UTC+1000), 6200533.86, 626854.66, 38.9, 0.02
16/9/2024 6:39:14 pm (UTC+1000), 6200533.77, 626853.39, 38.83, 0.03
16/9/2024 6:39:15 pm (UTC+1000), 6200533.68, 626852.16, 38.98, 0.03
16/9/2024 6:39:16 pm (UTC+1000), 6200533.56, 626850.98, 38.9, 0.03
16/9/2024 6:39:17 pm (UTC+1000), 6200533.52, 626849.82, 38.9, 0.03
16/9/2024 6:39:18 pm (UTC+1000), 6200533.41, 626848.61, 38.95, 0.03
16/9/2024 6:39:19 pm (UTC+1000), 6200533.33, 626847.47, 38.92, 0.03
16/9/2024 6:39:20 pm (UTC+1000), 6200533.3, 626846.31, 38.94, 0.03
16/9/2024 6:39:21 pm (UTC+1000), 6200533.21, 626845.19, 38.88, 0.03
16/9/2024 6:39:22 pm (UTC+1000), 6200533.23, 626844.07, 38.99, 0.03
16/9/2024 6:39:23 pm (UTC+1000), 6200533.36, 626842.88, 38.89, 0.03
16/9/2024 6:39:24 pm (UTC+1000), 6200533.29, 626841.71, 39.01, 0.03
16/9/2024 6:39:25 pm (UTC+1000), 6200533.18, 626840.5, 39.03, 0.03
16/9/2024 6:39:26 pm (UTC+1000), 6200532.99, 626839.35, 39.05, 0.03
16/9/2024 6:39:27 pm (UTC+1000), 6200532.69, 626838.28, 39.01, 0.03
16/9/2024 6:39:28 pm (UTC+1000), 6200532.34, 626837.22, 38.98, 0.02
16/9/2024 6:39:29 pm (UTC+1000), 6200531.94, 626836.18, 39, 0.03
16/9/2024 6:39:30 pm (UTC+1000), 6200531.56, 626835.17, 38.93, 0.02
16/9/2024 6:39:31 pm (UTC+1000), 6200531.19, 626834.2, 38.97, 0.03
16/9/2024 6:39:32 pm (UTC+1000), 6200530.66, 626833.4, 38.93, 0.02
16/9/2024 6:39:33 pm (UTC+1000), 6200530.21, 626832.57, 38.98, 0.03
16/9/2024 6:39:34 pm (UTC+1000), 6200529.81, 626831.75, 38.98, 0.02
16/9/2024 6:39:35 pm (UTC+1000), 6200529.31, 626831.12, 38.99, 0.03
16/9/2024 6:39:36 pm (UTC+1000), 6200528.84, 626830.56, 39.07, 0.02
16/9/2024 6:39:37 pm (UTC+1000), 6200528.61, 626830, 39.1, 0.02
16/9/2024 6:39:38 pm (UTC+1000), 6200528.26, 626829.54, 39.13, 0.02
16/9/2024 6:39:39 pm (UTC+1000), 6200528.32, 626829.21, 39.1, 0.02
16/9/2024 6:39:43 pm (UTC+1000), 6200528.11, 626829.03, 39.13, 0.01
16/9/2024 6:39:44 pm (UTC+1000), 6200528.42, 626828.72, 39.09, 0.02
16/9/2024 6:39:45 pm (UTC+1000), 6200528.94, 626828.42, 39.07, 0.01
16/9/2024 6:39:46 pm (UTC+1000), 6200529.24, 626827.98, 39.1, 0.02
16/9/2024 6:39:50 pm (UTC+1000), 6200528.93, 626828.08, 39.1, 0.02
16/9/2024 6:40:10 pm (UTC+1000), 6200529.01, 626828.36, 39.1, 0.02
16/9/2024 6:40:23 pm (UTC+1000), 6200528.96, 626828.03, 39.13, 0.02
16/9/2024 6:40:28 pm (UTC+1000), 6200529.36, 626827.57, 39.15, 0.02
16/9/2024 6:40:38 pm (UTC+1000), 6200529.16, 626827.74, 39.1, 0.02
16/9/2024 6:40:39 pm (UTC+1000), 6200529.52, 626828.03, 39.12, 0.02
16/9/2024 6:40:40 pm (UTC+1000), 6200529.05, 626828.09, 39.09, 0.02
16/9/2024 6:40:45 pm (UTC+1000), 6200528.73, 626828.07, 38.91, 0.02
16/9/2024 6:41:01 pm (UTC+1000), 6200529.01, 626828.14, 38.86, 0.02
16/9/2024 6:41:19 pm (UTC+1000), 6200529.73, 626828.18, 38.72, 0.02
16/9/2024 6:41:20 pm (UTC+1000), 6200530.11, 626827.95, 38.55, 0.02
16/9/2024 6:44:21 pm (UTC+1000), 6200529.73, 626828.16, 38.83, 0.04
16/9/2024 6:44:22 pm (UTC+1000), 6200529.43, 626828.32, 38.93, 0.07
16/9/2024 6:44:26 pm (UTC+1000), 6200529.42, 626827.95, 38.63, 0.12
16/9/2024 6:44:28 pm (UTC+1000), 6200529.16, 626828.07, 38.62, 0.13
16/9/2024 6:44:40 pm (UTC+1000), 6200529.56, 626828.32, 38.49, 0.06
17/9/2024 8:56:02 am (UTC+1000), 6200529.64, 626835.67, 42.72, 1.44
17/9/2024 8:56:07 am (UTC+1000), 6200531.5, 626835.78, 38.65, 1.60
17/9/2024 8:56:23 am (UTC+1000), 6200531.39, 626836.06, 38.67, 0.33
17/9/2024 8:56:24 am (UTC+1000), 6200531.49, 626835.79, 38.65, 1.84
17/9/2024 8:56:35 am (UTC+1000), 6200531.35, 626836.05, 38.71, 0.32
17/9/2024 9:01:07 am (UTC+1000), 6200531.39, 626836.37, 38.9, 0.03
17/9/2024 9:01:08 am (UTC+1000), 6200531.26, 626836.61, 38.92, 0.03
17/9/2024 9:01:09 am (UTC+1000), 6200530.87, 626837.1, 38.93, 0.03
17/9/2024 9:01:10 am (UTC+1000), 6200530.29, 626837.34, 38.9, 0.03
17/9/2024 9:01:11 am (UTC+1000), 6200530.1, 626837.04, 38.96, 0.03
17/9/2024 9:01:14 am (UTC+1000), 6200530.47, 626837.34, 39, 0.03
17/9/2024 9:01:19 am (UTC+1000), 6200530.67, 626837.16, 39.09, 0.03
17/9/2024 9:01:23 am (UTC+1000), 6200530.96, 626837.65, 39.08, 0.03
17/9/2024 9:01:26 am (UTC+1000), 6200530.73, 626837.43, 39.1, 0.03
17/9/2024 9:01:28 am (UTC+1000), 6200530.94, 626837.14, 39.09, 0.03
17/9/2024 9:01:29 am (UTC+1000), 6200531.36, 626837.07, 39.05, 0.02
17/9/2024 9:01:30 am (UTC+1000), 6200531.64, 626836.83, 38.82, 0.04
17/9/2024 9:01:32 am (UTC+1000), 6200531.14, 626837.17, 39.03, 0.05
17/9/2024 9:01:33 am (UTC+1000), 6200531.03, 626837.46, 38.98, 0.03
17/9/2024 9:01:47 am (UTC+1000), 6200530.78, 626837.33, 39.08, 0.02
17/9/2024 9:02:00 am (UTC+1000), 6200530.93, 626837.53, 39.05, 0.02
17/9/2024 9:02:08 am (UTC+1000), 6200531.15, 626837.26, 39.08, 0.02
17/9/2024 9:02:09 am (UTC+1000), 6200531.36, 626836.76, 39.05, 0.02
17/9/2024 9:02:10 am (UTC+1000), 6200532.11, 626836.58, 38.81, 0.03
17/9/2024 9:02:11 am (UTC+1000), 6200532.36, 626836.49, 38.76, 0.03
17/9/2024 9:02:12 am (UTC+1000), 6200531.99, 626836.45, 38.97, 0.03
17/9/2024 9:02:18 am (UTC+1000), 6200531.64, 626836.51, 38.98, 0.03
17/9/2024 9:02:19 am (UTC+1000), 6200531.29, 626836.9, 39.04, 0.03
17/9/2024 9:02:20 am (UTC+1000), 6200531.08, 626837.19, 39.04, 0.03
17/9/2024 9:02:22 am (UTC+1000), 6200530.86, 626837.51, 39.07, 0.04
17/9/2024 9:02:23 am (UTC+1000), 6200530.74, 626837.86, 39.03, 0.03
17/9/2024 9:02:24 am (UTC+1000), 6200530.42, 626838.05, 39.07, 0.03
17/9/2024 9:02:25 am (UTC+1000), 6200530.18, 626838.33, 39.06, 0.03
17/9/2024 9:02:27 am (UTC+1000), 6200529.97, 626838.5, 39.05, 0.03
17/9/2024 9:02:52 am (UTC+1000), 6200529.9, 626838.75, 39.06, 0.02
17/9/2024 9:03:25 am (UTC+1000), 6200530.4, 626838.85, 39.04, 0.02
17/9/2024 9:03:26 am (UTC+1000), 6200530.97, 626839.02, 39.05, 0.02
17/9/2024 9:03:27 am (UTC+1000), 6200531.22, 626839.58, 39.03, 0.02
17/9/2024 9:03:28 am (UTC+1000), 6200531.39, 626840, 39.03, 0.02
17/9/2024 9:03:29 am (UTC+1000), 6200531.35, 626840.44, 39.01, 0.03
17/9/2024 9:03:30 am (UTC+1000), 6200531.59, 626840.72, 39.02, 0.03
17/9/2024 9:03:31 am (UTC+1000), 6200531.79, 626841.41, 39, 0.03
17/9/2024 9:03:32 am (UTC+1000), 6200531.97, 626841.96, 39, 0.03
17/9/2024 9:03:33 am (UTC+1000), 6200532.22, 626842.37, 38.93, 0.03
17/9/2024 9:03:34 am (UTC+1000), 6200532.61, 626843.17, 38.94, 0.03
17/9/2024 9:03:35 am (UTC+1000), 6200532.88, 626844.21, 38.94, 0.03
17/9/2024 9:03:36 am (UTC+1000), 6200533.12, 626845.27, 38.97, 0.03
17/9/2024 9:03:37 am (UTC+1000), 6200533.19, 626846.26, 38.94, 0.03
17/9/2024 9:03:38 am (UTC+1000), 6200533.3, 626847.13, 38.95, 0.03
17/9/2024 9:03:39 am (UTC+1000), 6200533.66, 626848.03, 38.96, 0.03
17/9/2024 9:03:40 am (UTC+1000), 6200534.02, 626848.81, 38.93, 0.03
17/9/2024 9:03:41 am (UTC+1000), 6200534.04, 626849.3, 38.92, 0.03
17/9/2024 9:03:42 am (UTC+1000), 6200534.3, 626849.44, 38.91, 0.03
17/9/2024 9:03:47 am (UTC+1000), 6200533.84, 626850.14, 38.94, 0.02
17/9/2024 9:03:48 am (UTC+1000), 6200533.84, 626850.83, 38.91, 0.03
17/9/2024 9:03:49 am (UTC+1000), 6200533.83, 626851.16, 38.91, 0.03
17/9/2024 9:03:50 am (UTC+1000), 6200534.18, 626851.65, 38.94, 0.03
17/9/2024 9:03:52 am (UTC+1000), 6200534.24, 626852.25, 38.95, 0.03
17/9/2024 9:03:53 am (UTC+1000), 6200533.81, 626852.52, 38.93, 0.03
17/9/2024 9:03:54 am (UTC+1000), 6200534.1, 626852.84, 38.96, 0.03
17/9/2024 9:04:59 am (UTC+1000), 6200534.22, 626853.1, 38.92, 0.02
17/9/2024 9:10:55 am (UTC+1000), 6200534.11, 626852.84, 38.93, 0.03
17/9/2024 9:13:43 am (UTC+1000), 6200533.81, 626852.76, 38.94, 0.03
17/9/2024 9:14:24 am (UTC+1000), 6200534.02, 626852.52, 38.9, 0.03
17/9/2024 9:14:25 am (UTC+1000), 6200533.74, 626852.06, 38.88, 0.03
17/9/2024 9:14:26 am (UTC+1000), 6200533.25, 626851.18, 38.94, 0.03
17/9/2024 9:14:27 am (UTC+1000), 6200532.77, 626850.19, 38.89, 0.03
17/9/2024 9:14:28 am (UTC+1000), 6200532.33, 626849.18, 38.92, 0.03
17/9/2024 9:14:29 am (UTC+1000), 6200532.01, 626848.41, 38.94, 0.03
17/9/2024 9:14:30 am (UTC+1000), 6200531.99, 626848.02, 38.97, 0.03
17/9/2024 9:15:11 am (UTC+1000), 6200532.13, 626848.32, 38.9, 0.03
17/9/2024 9:17:07 am (UTC+1000), 6200532.16, 626848.72, 38.94, 0.03
17/9/2024 9:17:08 am (UTC+1000), 6200532.15, 626849.06, 38.95, 0.03
17/9/2024 9:17:09 am (UTC+1000), 6200531.89, 626849.38, 38.93, 0.03
17/9/2024 9:17:10 am (UTC+1000), 6200531.82, 626850.03, 38.96, 0.03
17/9/2024 9:17:11 am (UTC+1000), 6200531.86, 626850.78, 38.9, 0.03
17/9/2024 9:17:12 am (UTC+1000), 6200532.12, 626851.6, 38.95, 0.03
17/9/2024 9:17:13 am (UTC+1000), 6200532.64, 626852.31, 38.91, 0.03
17/9/2024 9:17:14 am (UTC+1000), 6200532.99, 626852.99, 38.88, 0.04
17/9/2024 9:17:15 am (UTC+1000), 6200533.18, 626853.54, 38.88, 0.03
17/9/2024 9:17:16 am (UTC+1000), 6200533.53, 626853.95, 38.92, 0.04
17/9/2024 9:17:17 am (UTC+1000), 6200533.46, 626854.33, 38.9, 0.03
